52.86.176.3 - - [20/Mar/2017:07:06:36 -0600] "GET /Promocion/login.do HTTP/1.0" 200 13166
201.130.60.105 - - [20/Mar/2017:09:36:23 -0600] "GET /Promocion/ HTTP/1.1" 200 182
201.130.60.105 - - [20/Mar/2017:09:36:24 -0600] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
201.130.60.105 - - [20/Mar/2017:09:36:24 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 200 22957
201.130.60.105 - - [20/Mar/2017:09:36:24 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 200 2622
201.130.60.105 - - [20/Mar/2017:09:36:24 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6432
201.130.60.105 - - [20/Mar/2017:09:36:24 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
201.130.60.105 - - [20/Mar/2017:09:36:24 -0600] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 200 10199
201.130.60.105 - - [20/Mar/2017:09:36:24 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 200 33933
201.130.60.105 - - [20/Mar/2017:09:36:24 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 200 11482
201.130.60.105 - - [20/Mar/2017:09:36:24 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 200 16994
201.130.60.105 - - [20/Mar/2017:09:36:25 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 200 3510
201.130.60.105 - - [20/Mar/2017:09:36:29 -0600] "GET /Promocion/login.do HTTP/1.1" 200 13166
201.130.60.105 - - [20/Mar/2017:09:36:30 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
201.130.60.105 - - [20/Mar/2017:09:36:30 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
201.130.60.105 - - [20/Mar/2017:09:36:30 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
